matchid,matchname,time,preodds,liodds
1,Liverpool vs Chelsea,2025-01-12 14:05,1.85,1.78
1,Liverpool vs Chelsea,2025-01-12 14:10,1.85,1.74
1,Liverpool vs Chelsea,2025-01-12 14:15,1.85,1.71
1,Liverpool vs Chelsea,2025-01-12 14:20,1.85,1.69
1,Liverpool vs Chelsea,2025-01-12 14:25,1.85,1.73
1,Liverpool vs Chelsea,2025-01-12 14:30,1.85,1.77
1,Liverpool vs Chelsea,2025-01-12 14:35,1.85,1.80
1,Liverpool vs Chelsea,2025-01-12 14:40,1.85,1.75
1,Liverpool vs Chelsea,2025-01-12 14:45,1.85,1.68
1,Liverpool vs Chelsea,2025-01-12 14:50,1.85,1.65
1,Liverpool vs Chelsea,2025-01-12 14:55,1.85,1.67
1,Liverpool vs Chelsea,2025-01-12 15:00,1.85,1.70
1,Liverpool vs Chelsea,2025-01-12 15:05,1.85,1.74
1,Liverpool vs Chelsea,2025-01-12 15:10,1.85,1.79
1,Liverpool vs Chelsea,2025-01-12 15:15,1.85,1.83
1,Liverpool vs Chelsea,2025-01-12 15:20,1.85,1.80
1,Liverpool vs Chelsea,2025-01-12 15:25,1.85,1.76
1,Liverpool vs Chelsea,2025-01-12 15:30,1.85,1.71
1,Liverpool vs Chelsea,2025-01-12 15:35,1.85,1.67
1,Liverpool vs Chelsea,2025-01-12 15:40,1.85,1.63
1,Liverpool vs Chelsea,2025-01-12 15:45,1.85,1.60
1,Liverpool vs Chelsea,2025-01-12 15:50,1.85,1.62
1,Liverpool vs Chelsea,2025-01-12 15:55,1.85,1.66
1,Liverpool vs Chelsea,2025-01-12 16:00,1.85,1.70
1,Liverpool vs Chelsea,2025-01-12 16:05,1.85,1.74
1,Liverpool vs Chelsea,2025-01-12 16:10,1.85,1.78
1,Liverpool vs Chelsea,2025-01-12 16:15,1.85,1.81
1,Liverpool vs Chelsea,2025-01-12 16:20,1.85,1.77
1,Liverpool vs Chelsea,2025-01-12 16:25,1.85,1.72
1,Liverpool vs Chelsea,2025-01-12 16:30,1.85,1.69

2,Barcelona vs Real Madrid,2025-01-15 18:00,2.10,2.05
2,Barcelona vs Real Madrid,2025-01-15 18:05,2.10,2.01
2,Barcelona vs Real Madrid,2025-01-15 18:10,2.10,1.98
2,Barcelona vs Real Madrid,2025-01-15 18:15,2.10,1.94
2,Barcelona vs Real Madrid,2025-01-15 18:20,2.10,1.90
2,Barcelona vs Real Madrid,2025-01-15 18:25,2.10,1.88
2,Barcelona vs Real Madrid,2025-01-15 18:30,2.10,1.92
2,Barcelona vs Real Madrid,2025-01-15 18:35,2.10,1.95
2,Barcelona vs Real Madrid,2025-01-15 18:40,2.10,1.87
2,Barcelona vs Real Madrid,2025-01-15 18:45,2.10,1.80
2,Barcelona vs Real Madrid,2025-01-15 18:50,2.10,1.78
2,Barcelona vs Real Madrid,2025-01-15 18:55,2.10,1.75
2,Barcelona vs Real Madrid,2025-01-15 19:00,2.10,1.79
2,Barcelona vs Real Madrid,2025-01-15 19:05,2.10,1.83
2,Barcelona vs Real Madrid,2025-01-15 19:10,2.10,1.87
2,Barcelona vs Real Madrid,2025-01-15 19:15,2.10,1.91
2,Barcelona vs Real Madrid,2025-01-15 19:20,2.10,1.88
2,Barcelona vs Real Madrid,2025-01-15 19:25,2.10,1.85
2,Barcelona vs Real Madrid,2025-01-15 19:30,2.10,1.82
2,Barcelona vs Real Madrid,2025-01-15 19:35,2.10,1.78
2,Barcelona vs Real Madrid,2025-01-15 19:40,2.10,1.74
2,Barcelona vs Real Madrid,2025-01-15 19:45,2.10,1.71
2,Barcelona vs Real Madrid,2025-01-15 19:50,2.10,1.69
2,Barcelona vs Real Madrid,2025-01-15 19:55,2.10,1.73
2,Barcelona vs Real Madrid,2025-01-15 20:00,2.10,1.77
2,Barcelona vs Real Madrid,2025-01-15 20:05,2.10,1.82
2,Barcelona vs Real Madrid,2025-01-15 20:10,2.10,1.86
2,Barcelona vs Real Madrid,2025-01-15 20:15,2.10,1.89
2,Barcelona vs Real Madrid,2025-01-15 20:20,2.10,1.85
2,Barcelona vs Real Madrid,2025-01-15 20:30,2.10,1.78

3,PSG vs Lyon,2025-01-20 21:00,1.55,1.60
3,PSG vs Lyon,2025-01-20 21:05,1.55,1.57
3,PSG vs Lyon,2025-01-20 21:10,1.55,1.53
3,PSG vs Lyon,2025-01-20 21:15,1.55,1.50
3,PSG vs Lyon,2025-01-20 21:20,1.55,1.48
3,PSG vs Lyon,2025-01-20 21:25,1.55,1.52
3,PSG vs Lyon,2025-01-20 21:30,1.55,1.55
3,PSG vs Lyon,2025-01-20 21:35,1.55,1.58
3,PSG vs Lyon,2025-01-20 21:40,1.55,1.56
3,PSG vs Lyon,2025-01-20 21:45,1.55,1.62
3,PSG vs Lyon,2025-01-20 21:50,1.55,1.59
3,PSG vs Lyon,2025-01-20 21:55,1.55,1.57
3,PSG vs Lyon,2025-01-20 22:00,1.55,1.54
3,PSG vs Lyon,2025-01-20 22:05,1.55,1.51
3,PSG vs Lyon,2025-01-20 22:10,1.55,1.49
3,PSG vs Lyon,2025-01-20 22:15,1.55,1.46
3,PSG vs Lyon,2025-01-20 22:20,1.55,1.48
3,PSG vs Lyon,2025-01-20 22:25,1.55,1.51
3,PSG vs Lyon,2025-01-20 22:30,1.55,1.54
3,PSG vs Lyon,2025-01-20 22:35,1.55,1.56
3,PSG vs Lyon,2025-01-20 22:40,1.55,1.53
3,PSG vs Lyon,2025-01-20 22:45,1.55,1.50
3,PSG vs Lyon,2025-01-20 22:50,1.55,1.48
3,PSG vs Lyon,2025-01-20 22:55,1.55,1.45
3,PSG vs Lyon,2025-01-20 23:00,1.55,1.49
3,PSG vs Lyon,2025-01-20 23:05,1.55,1.53
3,PSG vs Lyon,2025-01-20 23:10,1.55,1.56
3,PSG vs Lyon,2025-01-20 23:15,1.55,1.52
3,PSG vs Lyon,2025-01-20 23:20,1.55,1.49
3,PSG vs Lyon,2025-01-20 23:25,1.55,1.47

4,Bayern vs Dortmund,2025-01-25 17:00,2.25,2.20
4,Bayern vs Dortmund,2025-01-25 17:05,2.25,2.18
4,Bayern vs Dortmund,2025-01-25 17:10,2.25,2.14
4,Bayern vs Dortmund,2025-01-25 17:15,2.25,2.10
4,Bayern vs Dortmund,2025-01-25 17:20,2.25,2.05
4,Bayern vs Dortmund,2025-01-25 17:25,2.25,2.02
4,Bayern vs Dortmund,2025-01-25 17:30,2.25,2.07
4,Bayern vs Dortmund,2025-01-25 17:35,2.25,2.11
4,Bayern vs Dortmund,2025-01-25 17:40,2.25,2.08
4,Bayern vs Dortmund,2025-01-25 17:45,2.25,2.00
4,Bayern vs Dortmund,2025-01-25 17:50,2.25,1.97
4,Bayern vs Dortmund,2025-01-25 17:55,2.25,1.94
4,Bayern vs Dortmund,2025-01-25 18:00,2.25,1.92
4,Bayern vs Dortmund,2025-01-25 18:05,2.25,1.95
4,Bayern vs Dortmund,2025-01-25 18:10,2.25,1.98
4,Bayern vs Dortmund,2025-01-25 18:15,2.25,2.01
4,Bayern vs Dortmund,2025-01-25 18:20,2.25,1.97
4,Bayern vs Dortmund,2025-01-25 18:25,2.25,1.93
4,Bayern vs Dortmund,2025-01-25 18:30,2.25,1.90
4,Bayern vs Dortmund,2025-01-25 18:35,2.25,1.87
4,Bayern vs Dortmund,2025-01-25 18:40,2.25,1.84
4,Bayern vs Dortmund,2025-01-25 18:45,2.25,1.88
4,Bayern vs Dortmund,2025-01-25 18:50,2.25,1.92
4,Bayern vs Dortmund,2025-01-25 18:55,2.25,1.95
4,Bayern vs Dortmund,2025-01-25 19:00,2.25,1.91
4,Bayern vs Dortmund,2025-01-25 19:05,2.25,1.88
4,Bayern vs Dortmund,2025-01-25 19:10,2.25,1.84
4,Bayern vs Dortmund,2025-01-25 19:15,2.25,1.81
4,Bayern vs Dortmund,2025-01-25 19:20,2.25,1.78
4,Bayern vs Dortmund,2025-01-25 19:25,2.25,1.82

5,Juventus vs Milan,2025-01-28 19:00,1.95,1.99
5,Juventus vs Milan,2025-01-28 19:05,1.95,1.94
5,Juventus vs Milan,2025-01-28 19:10,1.95,1.90
5,Juventus vs Milan,2025-01-28 19:15,1.95,1.87
5,Juventus vs Milan,2025-01-28 19:20,1.95,1.85
5,Juventus vs Milan,2025-01-28 19:25,1.95,1.89
5,Juventus vs Milan,2025-01-28 19:30,1.95,1.93
5,Juventus vs Milan,2025-01-28 19:35,1.95,1.88
5,Juventus vs Milan,2025-01-28 19:40,1.95,1.84
5,Juventus vs Milan,2025-01-28 19:45,1.95,1.80
5,Juventus vs Milan,2025-01-28 19:50,1.95,1.83
5,Juventus vs Milan,2025-01-28 19:55,1.95,1.86
5,Juventus vs Milan,2025-01-28 20:00,1.95,1.89
5,Juventus vs Milan,2025-01-28 20:05,1.95,1.92
5,Juventus vs Milan,2025-01-28 20:10,1.95,1.95
5,Juventus vs Milan,2025-01-28 20:15,1.95,1.91
5,Juventus vs Milan,2025-01-28 20:20,1.95,1.87
5,Juventus vs Milan,2025-01-28 20:25,1.95,1.84
5,Juventus vs Milan,2025-01-28 20:30,1.95,1.81
5,Juventus vs Milan,2025-01-28 20:35,1.95,1.78
5,Juventus vs Milan,2025-01-28 20:40,1.95,1.82
5,Juventus vs Milan,2025-01-28 20:45,1.95,1.85
5,Juventus vs Milan,2025-01-28 20:50,1.95,1.88
5,Juventus vs Milan,2025-01-28 20:55,1.95,1.92
5,Juventus vs Milan,2025-01-28 21:00,1.95,1.89
5,Juventus vs Milan,2025-01-28 21:05,1.95,1.85
5,Juventus vs Milan,2025-01-28 21:10,1.95,1.81
5,Juventus vs Milan,2025-01-28 21:15,1.95,1.78
5,Juventus vs Milan,2025-01-28 21:20,1.95,1.75

6,Arsenal vs Tottenham,2025-02-02 16:00,2.05,2.10
6,Arsenal vs Tottenham,2025-02-02 16:05,2.05,2.08
6,Arsenal vs Tottenham,2025-02-02 16:10,2.05,2.03
6,Arsenal vs Tottenham,2025-02-02 16:15,2.05,1.99
6,Arsenal vs Tottenham,2025-02-02 16:20,2.05,1.96
6,Arsenal vs Tottenham,2025-02-02 16:25,2.05,1.92
6,Arsenal vs Tottenham,2025-02-02 16:30,2.05,1.94
6,Arsenal vs Tottenham,2025-02-02 16:35,2.05,1.97
6,Arsenal vs Tottenham,2025-02-02 16:40,2.05,2.00
6,Arsenal vs Tottenham,2025-02-02 16:45,2.05,1.95
6,Arsenal vs Tottenham,2025-02-02 16:50,2.05,1.91
6,Arsenal vs Tottenham,2025-02-02 16:55,2.05,1.88
6,Arsenal vs Tottenham,2025-02-02 17:00,2.05,1.85
6,Arsenal vs Tottenham,2025-02-02 17:05,2.05,1.89
6,Arsenal vs Tottenham,2025-02-02 17:10,2.05,1.93
6,Arsenal vs Tottenham,2025-02-02 17:15,2.05,1.98
6,Arsenal vs Tottenham,2025-02-02 17:20,2.05,2.02
6,Arsenal vs Tottenham,2025-02-02 17:25,2.05,1.97
6,Arsenal vs Tottenham,2025-02-02 17:30,2.05,1.94
6,Arsenal vs Tottenham,2025-02-02 17:35,2.05,1.90
6,Arsenal vs Tottenham,2025-02-02 17:40,2.05,1.86
6,Arsenal vs Tottenham,2025-02-02 17:45,2.05,1.83
6,Arsenal vs Tottenham,2025-02-02 17:50,2.05,1.80
6,Arsenal vs Tottenham,2025-02-02 17:55,2.05,1.84
6,Arsenal vs Tottenham,2025-02-02 18:00,2.05,1.88
6,Arsenal vs Tottenham,2025-02-02 18:05,2.05,1.93
6,Arsenal vs Tottenham,2025-02-02 18:10,2.05,1.97
6,Arsenal vs Tottenham,2025-02-02 18:15,2.05,2.00
6,Arsenal vs Tottenham,2025-02-02 18:20,2.05,1.96
6,Arsenal vs Tottenham,2025-02-02 18:25,2.05,1.92
6,Arsenal vs Tottenham,2025-02-02 18:30,2.05,1.89
6,Arsenal vs Tottenham,2025-02-02 18:35,2.05,1.85
6,Arsenal vs Tottenham,2025-02-02 18:40,2.05,1.82
6,Arsenal vs Tottenham,2025-02-02 18:45,2.05,1.78
6,Arsenal vs Tottenham,2025-02-02 18:50,2.05,1.81
6,Arsenal vs Tottenham,2025-02-02 18:55,2.05,1.85
6,Arsenal vs Tottenham,2025-02-02 19:00,2.05,1.90
6,Arsenal vs Tottenham,2025-02-02 19:05,2.05,1.94
6,Arsenal vs Tottenham,2025-02-02 19:10,2.05,1.91
6,Arsenal vs Tottenham,2025-02-02 19:15,2.05,1.87
6,Arsenal vs Tottenham,2025-02-02 19:20,2.05,1.83
6,Arsenal vs Tottenham,2025-02-02 19:25,2.05,1.80

7,Inter vs Napoli,2025-02-10 20:00,1.75,1.78
7,Inter vs Napoli,2025-02-10 20:05,1.75,1.74
7,Inter vs Napoli,2025-02-10 20:10,1.75,1.70
7,Inter vs Napoli,2025-02-10 20:15,1.75,1.68
7,Inter vs Napoli,2025-02-10 20:20,1.75,1.65
7,Inter vs Napoli,2025-02-10 20:25,1.75,1.69
7,Inter vs Napoli,2025-02-10 20:30,1.75,1.72
7,Inter vs Napoli,2025-02-10 20:35,1.75,1.75
7,Inter vs Napoli,2025-02-10 20:40,1.75,1.71
7,Inter vs Napoli,2025-02-10 20:45,1.75,1.67
7,Inter vs Napoli,2025-02-10 20:50,1.75,1.64
7,Inter vs Napoli,2025-02-10 20:55,1.75,1.61
7,Inter vs Napoli,2025-02-10 21:00,1.75,1.63
7,Inter vs Napoli,2025-02-10 21:05,1.75,1.66
7,Inter vs Napoli,2025-02-10 21:10,1.75,1.70
7,Inter vs Napoli,2025-02-10 21:15,1.75,1.74
7,Inter vs Napoli,2025-02-10 21:20,1.75,1.71
7,Inter vs Napoli,2025-02-10 21:25,1.75,1.68
7,Inter vs Napoli,2025-02-10 21:30,1.75,1.64
7,Inter vs Napoli,2025-02-10 21:35,1.75,1.61
7,Inter vs Napoli,2025-02-10 21:40,1.75,1.58
7,Inter vs Napoli,2025-02-10 21:45,1.75,1.60
7,Inter vs Napoli,2025-02-10 21:50,1.75,1.63
7,Inter vs Napoli,2025-02-10 21:55,1.75,1.67
7,Inter vs Napoli,2025-02-10 22:00,1.75,1.70
7,Inter vs Napoli,2025-02-10 22:05,1.75,1.73
7,Inter vs Napoli,2025-02-10 22:10,1.75,1.69
7,Inter vs Napoli,2025-02-10 22:15,1.75,1.66
7,Inter vs Napoli,2025-02-10 22:20,1.75,1.63
7,Inter vs Napoli,2025-02-10 22:25,1.75,1.60